trial_id,eye,start_time,end_time,duration,start_x,start_y,end_x,end_y,amplitude,peak_velocity,participant_id,condition,average_velocity,saccade_direction
0,L,5887506,5887519,13,959.2,565.3,953.0,528.4,0.67,73.0,354,anti-saccade,51.53846153846154,left
0,L,5890354,5890398,44,947.6,542.5,1322.0,608.1,6.89,284.0,354,anti-saccade,156.5909090909091,right
0,R,5890353,5890401,48,956.9,568.6,1352.7,619.6,7.24,322.0,354,anti-saccade,150.83333333333334,right
0,L,5890503,5890527,24,1320.9,614.1,1397.1,561.6,1.65,130.0,354,anti-saccade,68.74999999999999,right
0,R,5890504,5890534,30,1341.0,610.1,1398.8,563.2,1.33,167.0,354,anti-saccade,44.333333333333336,right
0,R,5890657,5890667,10,1411.3,552.0,1402.0,518.6,0.62,63.0,354,anti-saccade,62.0,left
0,L,5890658,5890671,13,1388.2,581.7,1370.7,542.9,0.76,81.0,354,anti-saccade,58.46153846153846,left
1,L,5894297,5894344,47,1005.3,533.9,1281.9,537.8,5.04,312.0,354,anti-saccade,107.2340425531915,right
1,R,5894298,5894344,46,1018.2,528.2,1301.8,535.6,5.17,347.0,354,anti-saccade,112.39130434782608,right
1,L,5894513,5894564,51,1299.3,529.7,912.2,549.6,7.06,382.0,354,anti-saccade,138.4313725490196,left
1,R,5894515,5894566,51,1316.0,534.5,944.0,549.3,6.78,348.0,354,anti-saccade,132.94117647058823,left
1,L,5894634,5894693,59,896.4,561.3,502.8,562.7,7.12,293.0,354,anti-saccade,120.67796610169492,left
1,R,5894635,5894697,62,908.3,587.4,532.9,599.0,6.8,247.0,354,anti-saccade,109.67741935483872,left
1,L,5894964,5894979,15,490.1,596.5,498.3,562.3,0.62,74.0,354,anti-saccade,41.333333333333336,right
1,R,5894968,5894986,18,503.3,612.4,511.3,574.7,0.68,66.0,354,anti-saccade,37.77777777777778,right
2,L,5902721,5902768,47,955.0,538.3,1306.3,569.6,6.41,276.0,354,anti-saccade,136.38297872340428,right
2,R,5902719,5902778,59,954.6,556.3,1308.5,554.5,6.44,325.0,354,anti-saccade,109.15254237288136,right
2,R,5902844,5902868,24,1319.5,552.8,1458.4,520.6,2.56,196.0,354,anti-saccade,106.66666666666667,right
2,L,5902845,5902869,24,1298.9,571.6,1434.0,531.0,2.53,166.0,354,anti-saccade,105.41666666666666,right
3,R,5907709,5907756,47,980.1,548.3,1400.2,552.8,7.62,321.0,354,anti-saccade,162.12765957446808,right
3,L,5907711,5907758,47,958.2,545.9,1356.9,560.0,7.24,290.0,354,anti-saccade,154.0425531914894,right
3,L,5907889,5907902,13,1355.5,552.3,1395.5,535.6,0.78,75.0,354,anti-saccade,60.00000000000001,right
3,R,5907887,5907906,19,1386.7,553.8,1420.7,545.6,0.63,88.0,354,anti-saccade,33.15789473684211,right
3,L,5908086,5908100,14,1387.4,548.6,1432.9,555.2,0.82,69.0,354,anti-saccade,58.57142857142857,right
3,R,5908087,5908100,13,1423.8,538.4,1466.6,532.5,0.77,71.0,354,anti-saccade,59.23076923076923,right
4,R,5909431,5909484,53,967.8,574.8,978.7,535.0,0.73,332.0,354,anti-saccade,13.773584905660377,right
4,R,5910979,5911026,47,964.5,531.5,1270.2,532.3,5.57,332.0,354,anti-saccade,118.51063829787235,right
4,L,5910979,5911027,48,963.2,542.5,1250.1,551.6,5.23,294.0,354,anti-saccade,108.95833333333334,right
4,L,5911065,5911142,77,1262.5,564.4,422.2,609.4,15.09,374.0,354,anti-saccade,195.97402597402598,left
4,R,5911067,5911143,76,1274.1,540.8,440.5,609.8,15.02,330.0,354,anti-saccade,197.6315789473684,left
4,L,5911246,5911266,20,412.8,621.5,514.7,570.0,2.03,162.0,354,anti-saccade,101.5,right
4,R,5911244,5911268,24,428.8,606.1,534.3,574.7,1.96,180.0,354,anti-saccade,81.66666666666667,right
5,L,5912979,5912996,17,967.2,555.7,994.0,546.1,0.52,62.0,354,anti-saccade,30.58823529411765,right
5,L,5914571,5914598,27,959.7,536.2,734.3,566.4,4.15,254.0,354,anti-saccade,153.7037037037037,left
5,R,5914573,5914603,30,960.8,554.2,752.5,587.3,3.85,230.0,354,anti-saccade,128.33333333333331,left
5,L,5914852,5914874,22,740.5,575.8,630.4,542.1,2.09,162.0,354,anti-saccade,94.99999999999999,left
5,R,5914853,5914875,22,752.4,582.1,641.4,544.7,2.12,162.0,354,anti-saccade,96.36363636363637,left
5,L,5914954,5914979,25,637.7,555.1,504.4,541.2,2.42,188.0,354,anti-saccade,96.8,left
5,R,5914956,5914981,25,647.8,552.1,516.5,550.3,2.37,182.0,354,anti-saccade,94.80000000000001,left
6,R,5917026,5917086,60,964.1,564.6,983.2,548.1,0.46,129.0,354,anti-saccade,7.666666666666667,right
6,L,5919261,5919315,54,961.4,541.0,1476.0,593.0,9.33,285.0,354,anti-saccade,172.77777777777777,right
6,R,5919259,5919325,66,967.5,526.8,1475.5,556.4,9.19,318.0,354,anti-saccade,139.24242424242422,right
6,R,5919410,5919420,10,1485.5,568.2,1467.8,539.0,0.6,61.0,354,anti-saccade,60.0,left
