participant_id,trial_id,time,event,colour,coordinates,stimulus_onset_ms
354,0.0,5887241,TRIALID,,,
354,0.0,5887259,START,,,
354,0.0,5887293,FIXPOINT,255 255 255,960 540,
354,0.0,5889989,stimulus_onset,255 0 0,629 540,
354,0.0,5890991,FIXPOINT,255 0 0,629 540,
354,0.0,5890992,TRIAL_VAR_DATA,,left,2696.0
354,0.0,5891096,END,,,
354,1.0,5892470,TRIALID,,,
354,1.0,5892486,START,,,
354,1.0,5892523,FIXPOINT,255 255 255,960 540,
354,1.0,5894039,stimulus_onset,255 0 0,1290 540,
354,1.0,5895041,FIXPOINT,255 0 0,1290 540,
354,1.0,5895047,TRIAL_VAR_DATA,,right,1516.0
354,1.0,5895150,END,,,
354,2.0,5899779,TRIALID,,,
354,2.0,5899795,START,,,
354,2.0,5899834,FIXPOINT,255 255 255,960 540,
354,2.0,5902424,stimulus_onset,255 0 0,629 540,
354,2.0,5903425,FIXPOINT,255 0 0,629 540,
354,2.0,5903431,TRIAL_VAR_DATA,,left,2590.0
354,2.0,5903535,END,,,
354,3.0,5904968,TRIALID,,,
354,3.0,5904986,START,,,
354,3.0,5905025,FIXPOINT,255 255 255,960 540,
354,3.0,5907410,stimulus_onset,255 0 0,629 540,
354,3.0,5908411,FIXPOINT,255 0 0,629 540,
354,3.0,5908412,TRIAL_VAR_DATA,,left,2385.0
354,3.0,5908515,END,,,
354,4.0,5909360,TRIALID,,,
354,4.0,5909379,START,,,
354,4.0,5909413,FIXPOINT,255 255 255,960 540,
354,4.0,5910630,stimulus_onset,255 0 0,1290 540,
354,4.0,5911632,FIXPOINT,255 0 0,1290 540,
354,4.0,5911633,TRIAL_VAR_DATA,,right,1217.0
354,4.0,5911738,END,,,
354,5.0,5912635,TRIALID,,,
354,5.0,5912654,START,,,
354,5.0,5912691,FIXPOINT,255 255 255,960 540,
354,5.0,5914243,stimulus_onset,255 0 0,1290 540,
354,5.0,5915245,FIXPOINT,255 0 0,1290 540,
354,5.0,5915246,TRIAL_VAR_DATA,,right,1552.0
354,5.0,5915348,END,,,
354,6.0,5916746,TRIALID,,,
354,6.0,5916765,START,,,
354,6.0,5916805,FIXPOINT,255 255 255,960 540,
354,6.0,5918988,stimulus_onset,255 0 0,629 540,
354,6.0,5919989,FIXPOINT,255 0 0,629 540,
354,6.0,5919995,TRIAL_VAR_DATA,,left,2183.0
354,6.0,5920099,END,,,
354,7.0,5921416,TRIALID,,,
354,7.0,5921440,START,,,
354,7.0,5921477,FIXPOINT,255 255 255,960 540,
354,7.0,5923696,stimulus_onset,255 0 0,1290 540,
354,7.0,5924698,FIXPOINT,255 0 0,1290 540,
354,7.0,5924699,TRIAL_VAR_DATA,,right,2219.0
354,7.0,5924802,END,,,
354,8.0,5926403,TRIALID,,,
354,8.0,5926421,START,,,
354,8.0,5926460,FIXPOINT,255 255 255,960 540,
354,8.0,5928017,stimulus_onset,255 0 0,1290 540,
354,8.0,5929019,FIXPOINT,255 0 0,1290 540,
354,8.0,5929024,TRIAL_VAR_DATA,,right,1557.0
354,8.0,5929127,END,,,
354,9.0,5930630,TRIALID,,,
354,9.0,5930649,START,,,
354,9.0,5930689,FIXPOINT,255 255 255,960 540,
354,9.0,5932948,stimulus_onset,255 0 0,629 540,
354,9.0,5933949,FIXPOINT,255 0 0,629 540,
354,9.0,5933950,TRIAL_VAR_DATA,,left,2259.0
354,9.0,5934054,END,,,
354,10.0,5936218,TRIALID,,,
354,10.0,5936237,START,,,
354,10.0,5936279,FIXPOINT,255 255 255,960 540,
354,10.0,5938800,stimulus_onset,255 0 0,1290 540,
354,10.0,5939801,FIXPOINT,255 0 0,1290 540,
354,10.0,5939805,TRIAL_VAR_DATA,,right,2521.0
354,10.0,5939907,END,,,
354,11.0,5941437,TRIALID,,,
354,11.0,5941455,START,,,
354,11.0,5941496,FIXPOINT,255 255 255,960 540,
354,11.0,5943701,stimulus_onset,255 0 0,1290 540,
354,11.0,5944702,FIXPOINT,255 0 0,1290 540,
354,11.0,5944705,TRIAL_VAR_DATA,,right,2205.0
354,11.0,5944810,END,,,
354,12.0,5946126,TRIALID,,,
354,12.0,5946145,START,,,
354,12.0,5946184,FIXPOINT,255 255 255,960 540,
354,12.0,5948174,stimulus_onset,255 0 0,629 540,
354,12.0,5949176,FIXPOINT,255 0 0,629 540,
354,12.0,5949177,TRIAL_VAR_DATA,,left,1990.0
354,12.0,5949279,END,,,
354,13.0,5950695,TRIALID,,,
354,13.0,5950714,START,,,
354,13.0,5950750,FIXPOINT,255 255 255,960 540,
354,13.0,5952154,stimulus_onset,255 0 0,1290 540,
354,13.0,5953156,FIXPOINT,255 0 0,1290 540,
354,13.0,5953157,TRIAL_VAR_DATA,,right,1404.0
354,13.0,5953262,END,,,
354,14.0,5954232,TRIALID,,,
354,14.0,5954256,START,,,
354,14.0,5954294,FIXPOINT,255 255 255,960 540,
354,14.0,5956236,stimulus_onset,255 0 0,629 540,
354,14.0,5957238,FIXPOINT,255 0 0,629 540,
354,14.0,5957238,TRIAL_VAR_DATA,,left,1942.0
354,14.0,5957343,END,,,
354,15.0,5958591,TRIALID,,,
354,15.0,5958609,START,,,
354,15.0,5958644,FIXPOINT,255 255 255,960 540,
354,15.0,5960106,stimulus_onset,255 0 0,629 540,
354,15.0,5961108,FIXPOINT,255 0 0,629 540,
354,15.0,5961109,TRIAL_VAR_DATA,,left,1462.0
354,15.0,5961212,END,,,
87,0.0,4707367,TRIALID,,,
87,0.0,4707396,START,,,
87,0.0,4707438,FIXPOINT,255 255 255,960 540,
87,0.0,4715829,stimulus_onset,255 0 0,624 540,
87,0.0,4715831,FIXPOINT,255 0 0,624 540,
87,0.0,4716575,TRIAL_VAR_DATA,,left,743.0
87,0.0,4718678,END,,,
87,1.0,4719293,TRIALID,,,
87,1.0,4719298,START,,,
87,1.0,4719332,FIXPOINT,255 255 255,960 540,
87,1.0,4723122,stimulus_onset,255 0 0,1295 540,
87,1.0,4723124,FIXPOINT,255 0 0,1295 540,
87,1.0,4723875,TRIAL_VAR_DATA,,right,750.0
87,1.0,4725979,END,,,
87,2.0,4726596,TRIALID,,,
87,2.0,4726601,START,,,
